identifies_as_woman,identifies_as_hispanic_or_latinx,identifies_as_black,identifies_as_white,highest_education_level,state,direction_country_headed,should_incarcerated_vote,incarceration_impacts_motivation_to_vote
False,False,False,False,,,Wrong track,,
False,False,False,False,,,In between,,
False,False,False,False,,,In between,Yes,No impact
False,False,False,False,,,,,
False,False,False,False,,,In between,,
False,False,False,False,,,In between,No,
False,False,False,False,,,No opinion,,
False,False,False,False,,,,,
False,False,False,False,,,In between,Yes,
False,False,False,False,,,In between,,
False,False,False,False,,,,,
False,False,False,False,,,Wrong track,,
False,False,False,False,,,No opinion,,
False,False,False,False,,,Wrong track,Yes,
False,False,False,False,,,,,
False,False,False,False,,,Wrong track,Yes,
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,No opinion,,
False,False,False,False,,,,,
False,False,False,False,,,,,
False,False,False,False,,,No opinion,Yes,No impact
False,False,False,False,,,,,
False,False,False,False,,,Right direction,Yes,Increased my motivation to vote
False,False,False,False,,,In between,,
False,False,False,False,,,,,
False,False,False,False,,,Right direction,Yes,
False,False,False,False,,,,,
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,In between,Yes,
False,False,False,False,,AR,,,
False,False,False,False,,AR,In between,Yes,Slightly increased my motivation to vote
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,AR,Wrong track,Don't know / No opinion,No impact
False,False,False,False,,AR,Wrong track,Yes,No impact
False,False,False,False,,AR,,,
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,No,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,Wrong track,Yes,
False,False,False,False,,AR,Wrong track,No,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,In between,Yes,Slightly increased my motivation to vote
False,False,False,False,,AR,,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,Yes,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,Right direction,Yes,Slightly increased my motivation to vote
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,No opinion,Yes,No impact
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,In between,Yes,Increased my motivation to vote
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,In between,Yes,
False,False,False,False,,AR,In between,Yes,Increased my motivation to vote
False,False,False,False,,AR,In between,Don't know / No opinion,Decreased my motivation to vote
False,False,False,False,,AR,In between,Yes,Increased my motivation to vote
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,In between,Yes,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Right direction,Yes,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,No opinion,Yes,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,In between,Don't know / No opinion,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,Right direction,Yes,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,No,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Right direction,No,
False,False,False,False,,AR,In between,Yes,
False,False,False,False,,AR,In between,Yes,Increased my motivation to vote
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,In between,Yes,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,Yes,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,In between,Yes,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,No,Decreased my motivation to vote
False,False,False,False,,AR,Wrong track,Yes,
False,False,False,False,,AR,Wrong track,Don't know / No opinion,
False,False,False,False,,AR,,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,No opinion,Yes,Slightly decreased my motivation to vote
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Right direction,Yes,
False,False,False,False,,AR,In between,Yes,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,No opinion,Yes,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,Wrong track,Yes,
False,False,False,False,,AR,In between,Yes,Increased my motivation to vote
False,False,False,False,,AR,Right direction,No,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,In between,Yes,Decreased my motivation to vote
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,In between,Yes,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,In between,Yes,No impact
False,False,False,False,,AR,Wrong track,Yes,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,Don't know / No opinion,No impact
False,False,False,False,,AR,Wrong track,Yes,No impact
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,Yes,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Right direction,Yes,No impact
False,False,False,False,,AR,No opinion,Don't know / No opinion,
False,False,False,False,,AR,No opinion,Yes,Slightly increased my motivation to vote
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,Wrong track,Don't know / No opinion,
False,False,False,False,,AR,In between,Yes,Slightly increased my motivation to vote
False,False,False,False,,AR,In between,,
False,False,False,False,,AR,No opinion,Yes,No impact
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,Wrong track,Yes,No impact
False,False,False,False,,AR,Right direction,Don't know / No opinion,
False,False,False,False,,AR,No opinion,Yes,Decreased my motivation to vote
False,False,False,False,,AR,Right direction,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,No opinion,Yes,No impact
False,False,False,False,,AR,No opinion,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,,,
False,False,False,False,,AR,Wrong track,,
False,False,False,False,,CA,Wrong track,Yes,
False,False,False,False,,CA,,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,No opinion,Don't know / No opinion,
False,False,False,False,,CA,Wrong track,,
False,False,False,False,,CA,In between,,
False,False,False,False,,CA,Wrong track,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,In between,,
False,False,False,False,,CA,In between,No,Decreased my motivation to vote
False,False,False,False,,CA,,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,No opinion,,
False,False,False,False,,CA,Right direction,Don't know / No opinion,
False,False,False,False,,CA,,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,In between,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,In between,Yes,No impact
False,False,False,False,,CA,Wrong track,Don't know / No opinion,No impact
False,False,False,False,,CA,,,
False,False,False,False,,CA,No opinion,Don't know / No opinion,
False,False,False,False,,CA,,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,No opinion,,
False,False,False,False,,CA,Wrong track,,
False,False,False,False,,CA,In between,,
False,False,False,False,,CA,Wrong track,Yes,
False,False,False,False,,CA,Right direction,,
False,False,False,False,,CA,Wrong track,Yes,No impact
False,False,False,False,,CA,In between,Yes,Increased my motivation to vote
False,False,False,False,,CA,Right direction,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,Right direction,,
False,False,False,False,,CA,In between,,
False,False,False,False,,CA,No opinion,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,Wrong track,Yes,No impact
False,False,False,False,,CA,No opinion,Yes,
False,False,False,False,,CA,Right direction,No,No impact
False,False,False,False,,CA,In between,Don't know / No opinion,
False,False,False,False,,CA,In between,Yes,No impact
False,False,False,False,,CA,Right direction,,
False,False,False,False,,CA,No opinion,,
False,False,False,False,,CA,Wrong track,,
False,False,False,False,,CA,Wrong track,Don't know / No opinion,Slightly decreased my motivation to vote
False,False,False,False,,CA,,,
False,False,False,False,,CA,No opinion,Don't know / No opinion,
False,False,False,False,,CA,In between,No,No impact
False,False,False,False,,CA,No opinion,Don't know / No opinion,No impact
False,False,False,False,,CA,No opinion,Don't know / No opinion,Decreased my motivation to vote
False,False,False,False,,CA,,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,Wrong track,Don't know / No opinion,No impact
False,False,False,False,,CA,Wrong track,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,In between,Yes,Decreased my motivation to vote
False,False,False,False,,CA,,,
False,False,False,False,,CA,No opinion,Yes,Slightly increased my motivation to vote
False,False,False,False,,CA,In between,No,Slightly increased my motivation to vote
False,False,False,False,,CA,Right direction,Yes,No impact
False,False,False,False,,CA,,,
False,False,False,False,,CA,No opinion,,
False,False,False,False,,CA,No opinion,Don't know / No opinion,
False,False,False,False,,CA,No opinion,,
False,False,False,False,,CA,No opinion,,
False,False,False,False,,CA,Right direction,,
False,False,False,False,,CA,Wrong track,,
False,False,False,False,,CA,,,
False,False,False,False,,CA,Right direction,,
False,False,False,False,,CA,Wrong track,,
False,False,False,False,,CA,In between,,
False,False,False,False,,CA,Right direction,Don't know / No opinion,
False,False,False,False,,IL,No opinion,,
False,False,False,False,,IL,In between,,
False,False,False,False,,IL,Wrong track,,
False,False,False,False,,IL,Wrong track,,
False,False,False,False,,IL,,,
False,False,False,False,,IL,In between,,
False,False,False,False,,IL,Wrong track,Yes,
False,False,False,False,,IL,In between,Yes,Increased my motivation to vote
False,False,False,False,,IL,,,
False,False,False,False,,IL,,,
False,False,False,False,,IL,Wrong track,Yes,Slightly increased my motivation to vote
False,False,False,False,,IL,,,
False,False,False,False,,IL,,,
False,False,False,False,,IL,,,
False,False,False,False,,IL,,,
False,False,False,False,,IL,,,
False,False,False,False,,IL,In between,,
False,False,False,False,,IL,No opinion,Yes,No impact
False,False,False,False,,IL,,,
False,False,False,False,,IL,,,
False,False,False,False,,IL,In between,,
False,False,False,False,,IL,Wrong track,,
False,False,False,False,,IL,Wrong track,,
False,False,False,False,,IL,In between,Yes,
False,False,False,False,,IL,,,
False,False,False,False,,IL,Wrong track,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,Don't know / No opinion,Increased my motivation to vote
False,False,False,False,,KS,In between,Yes,Slightly increased my motivation to vote
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,Don't know / No opinion,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,Wrong track,Yes,
False,False,False,False,,KS,Wrong track,Yes,
False,False,False,False,,KS,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,Wrong track,No,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,No opinion,Yes,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,No,Increased my motivation to vote
False,False,False,False,,KS,In between,Yes,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,Yes,No impact
False,False,False,False,,KS,No opinion,Yes,Slightly increased my motivation to vote
False,False,False,False,,KS,No opinion,,
False,False,False,False,,KS,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,Yes,
False,False,False,False,,KS,Right direction,Yes,Increased my motivation to vote
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,Right direction,Yes,Increased my motivation to vote
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,Yes,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,In between,Yes,Decreased my motivation to vote
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,Wrong track,Don't know / No opinion,
False,False,False,False,,KS,Wrong track,Yes,
False,False,False,False,,KS,Right direction,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,Wrong track,Don't know / No opinion,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,No opinion,Yes,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,No opinion,Yes,Increased my motivation to vote
False,False,False,False,,KS,,,
False,False,False,False,,KS,No opinion,Yes,Increased my motivation to vote
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,In between,Don't know / No opinion,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,Yes,No impact
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,Don't know / No opinion,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,Wrong track,Yes,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,No opinion,Yes,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,Don't know / No opinion,Slightly increased my motivation to vote
False,False,False,False,,KS,In between,Yes,No impact
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,Yes,Decreased my motivation to vote
False,False,False,False,,KS,Right direction,Yes,No impact
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,Yes,No impact
False,False,False,False,,KS,,,
False,False,False,False,,KS,No opinion,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,No,No impact
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,In between,Yes,
False,False,False,False,,KS,Right direction,,
False,False,False,False,,KS,No opinion,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,Yes,No impact
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,Yes,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,No opinion,Yes,No impact
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,Yes,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Right direction,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,Yes,
False,False,False,False,,KS,Wrong track,Yes,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,Wrong track,Yes,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Right direction,,
False,False,False,False,,KS,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,In between,Yes,
False,False,False,False,,KS,No opinion,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,No opinion,Yes,Increased my motivation to vote
False,False,False,False,,KS,No opinion,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,KS,Right direction,No,No impact
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,Yes,
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,No opinion,,
False,False,False,False,,KS,No opinion,Don't know / No opinion,No impact
False,False,False,False,,KS,Right direction,,
False,False,False,False,,KS,Wrong track,Yes,
False,False,False,False,,KS,,,
False,False,False,False,,KS,No opinion,,
False,False,False,False,,KS,Wrong track,Yes,Decreased my motivation to vote
False,False,False,False,,KS,,,
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,Wrong track,Don't know / No opinion,Decreased my motivation to vote
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,No opinion,Don't know / No opinion,No impact
False,False,False,False,,KS,In between,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,,,
False,False,False,False,,KS,Right direction,Yes,No impact
False,False,False,False,,KS,No opinion,Yes,Increased my motivation to vote
False,False,False,False,,KS,In between,Yes,Increased my motivation to vote
False,False,False,False,,KS,In between,Don't know / No opinion,No impact
False,False,False,False,,KS,,,
False,False,False,False,,KS,Wrong track,,
False,False,False,False,,MT,Wrong track,,
False,False,False,False,,MT,No opinion,Yes,Decreased my motivation to vote
False,False,False,False,,MT,Right direction,,
False,False,False,False,,MT,,,
False,False,False,False,,MT,In between,,
False,False,False,False,,MT,,,
False,False,False,False,,MT,Wrong track,Yes,
False,False,False,False,,MT,In between,,
False,False,False,False,,MT,In between,,
False,False,False,False,,MT,Wrong track,,
False,False,False,False,,MT,Right direction,,
False,False,False,False,,MT,,,
False,False,False,False,,MT,In between,Don't know / No opinion,
False,False,False,False,,MT,Wrong track,,
False,False,False,False,,MT,In between,Don't know / No opinion,Increased my motivation to vote
False,False,False,False,,MT,,,
False,False,False,False,,MT,Wrong track,,
False,False,False,False,,MT,Wrong track,Yes,
False,False,False,False,,MT,Right direction,,
False,False,False,False,,MT,,,
False,False,False,False,,MT,No opinion,,
False,False,False,False,,MT,Wrong track,,
False,False,False,False,,MT,In between,,
False,False,False,False,,MT,In between,,
False,False,False,False,,MT,Wrong track,,
False,False,False,False,,MT,,,
False,False,False,False,,MT,No opinion,,
False,False,False,False,,MT,Wrong track,Yes,Increased my motivation to vote
False,False,False,False,,MT,No opinion,Yes,
False,False,False,False,,MT,In between,Yes,
False,False,False,False,,MT,In between,Yes,
False,False,False,False,,MT,,,
False,False,False,False,,MT,In between,,
False,False,False,False,,MT,In between,Yes,No impact
False,False,False,False,,MT,Right direction,Yes,
False,False,False,False,,MT,Right direction,,
False,False,False,False,,MT,In between,,
True,False,False,True,High school or GED or less,,Wrong track,No,No impact
True,False,False,True,High school or GED or less,,Wrong track,Yes,No impact
True,False,False,True,High school or GED or less,,Wrong track,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,In between,Yes,No impact
True,False,False,True,High school or GED or less,,Wrong track,Yes,Slightly increased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Yes,Slightly decreased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,No opinion,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,No opinion,Yes,No impact
True,False,False,True,High school or GED or less,,In between,Yes,Slightly increased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Don't know / No opinion,No impact
True,False,False,True,High school or GED or less,,No opinion,Yes,No impact
True,False,False,True,High school or GED or less,,Wrong track,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Yes,Slightly increased my motivation to vote
True,False,False,True,High school or GED or less,,In between,Don't know / No opinion,No impact
True,False,False,True,High school or GED or less,,Wrong track,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,In between,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Yes,No impact
True,False,False,True,High school or GED or less,,In between,Yes,No impact
True,False,False,True,High school or GED or less,,Wrong track,Yes,No impact
True,False,False,True,High school or GED or less,,In between,Yes,Slightly increased my motivation to vote
True,False,False,True,High school or GED or less,,In between,No,No impact
True,False,False,True,High school or GED or less,,Right direction,Yes,Slightly increased my motivation to vote
True,False,False,True,High school or GED or less,,In between,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,In between,Yes,No impact
True,False,False,True,High school or GED or less,,No opinion,Yes,No impact
True,False,False,True,High school or GED or less,,Wrong track,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,No opinion,Yes,Decreased my motivation to vote
True,False,False,True,High school or GED or less,,Right direction,Yes,Slightly increased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Yes,No impact
True,False,False,True,High school or GED or less,,No opinion,Yes,No impact
True,False,False,True,High school or GED or less,,Wrong track,Yes,Slightly increased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,Right direction,Yes,Slightly increased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,In between,Yes,Slightly increased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,In between,Don't know / No opinion,No impact
True,False,False,True,High school or GED or less,,Wrong track,Yes,Slightly increased my motivation to vote
True,False,False,True,High school or GED or less,,No opinion,Yes,No impact
True,False,False,True,High school or GED or less,,Wrong track,Yes,Decreased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,Wrong track,Yes,Increased my motivation to vote
True,False,False,True,High school or GED or less,,Right direction,Yes,Decreased my motivation to vote
